Tag_Number,Release_Da,Latitude_bad,Longitude_bad,Species_Na,Length,Weight,Latitude_F,Longitude_
D001658,10/30/05,34.47S,151.10E,YELLOWFIN TUNA,100,10,-34.75,151.1666667
S186525,9/19/09,34.47S,151.10E,MAKO SHARK,210,80,-34.75,151.1666667
S265843,11/15/20,34.47S,151.10E,MAKO SHARK,180,60,-34.75,151.1666667
B198736,3/11/23,34.40S,151.12E,BLUE MARLIN,150,80,-34.66666667,151.1666667
S158718,2/5/05,34.40S,151.09E,STRIPED MARLIN,0,0,-34.66666667,151.1666667
D004579,2/17/18,33.59S,151.28E,DOLPHINFISH,52,0,-34,151.5
S261171,3/24/18,34.02S,151.29E,WHALER SHARK,135,50,-34,151.5
S268516,4/2/23,34.04S,151.30E,MAKO SHARK,150,50,-34.08333333,151.5
S206256,8/7/04,34.06S,151.51E,ALBACORE,60,3,-34.08333333,151.8333333
A411868,3/29/02,34.35S,151.50E,DOLPHINFISH,55,0.5,-34.58333333,151.8333333
A415193,3/22/03,34.47S,151.11E,YELLOWFIN TUNA,70,15,-34.75,151.1666667
A629835,4/1/23,34.06S,151.24E,DOLPHINFISH,0,0,-34.08333333,151.4166667
A651287,11/22/20,33.59S,151.20E,DOLPHINFISH,108,6.5,-34,151.3333333
B047500,3/1/14,33.59S,151.22E,STRIPED MARLIN,240,80,-34,151.3333333
D008195,3/26/10,33.59S,151.20E,DOLPHINFISH,60,0,-34,151.3333333
A662736,1/12/22,33.59S,151.26E,DOLPHINFISH,63,2,-34,151.4166667
A395691,1/29/06,34.02S,151.32E,STRIPED MARLIN,220,70,-34,151.5
S146906,1/9/05,34.14S,151.10E,MAKO SHARK,60,4,-34.25,151.1666667
B081528,9/6/13,34.22S,151.13E,SHORTBILL SPEARFISH,140,20,-34.33333333,151.25
A424557,11/4/07,34.14S,151.27E,YELLOWFIN TUNA,0,10,-34.25,151.4166667
S247662,9/21/14,34.12S,151.23E,TIGER SHARK,210,120,-34.16666667,151.4166667
B131068,1/1/18,34.06S,151.26E,STRIPED MARLIN,210,60,-34.08333333,151.4166667
B198967,3/25/23,34.04S,151.25E,BLUE MARLIN,180,50,-34.08333333,151.4166667
B054179,2/26/10,33.03S,152.26E,STRIPED MARLIN,250,100,-33.08333333,152.4166667
B073604,2/5/12,33.03S,152.25E,STRIPED MARLIN,0,60,-33.08333333,152.4166667
S193519,2/26/05,33.04S,152.37E,BLACK MARLIN,0,40,-33.08333333,152.5833333
S248494,11/25/12,35.09S,151.00E,MAKO SHARK,240,150,-35.16666667,151
A492470,1/27/08,35.09S,151.09E,YELLOWFIN TUNA,80,6,-35.16666667,151.1666667
A123560,2/3/08,33.05S,151.48E,BLUE SHARK,200,60,-33.08333333,151.8333333
B008186,2/25/06,33.04S,152.25E,BLACK MARLIN,0,70,-33.08333333,152.4166667
B044308,2/5/12,33.05S,152.25E,STRIPED MARLIN,0,60,-33.08333333,152.4166667
B053985,3/24/09,33.03S,152.25E,BLACK MARLIN,0,100,-33.08333333,152.4166667
B144873,2/10/18,35.11S,150.57E,STRIPED MARLIN,230,90,-35.16666667,150.9166667
A501131,11/24/12,35.08S,151.02E,ALBACORE,50,5,-35.16666667,151
A613560,10/18/20,35.08S,151.02E,ALBACORE,75,7,-35.16666667,151
B067649,3/7/14,35.12S,151.02E,STRIPED MARLIN,0,100,-35.16666667,151
B165181,2/19/21,35.08S,151.02E,STRIPED MARLIN,200,100,-35.16666667,151
S234396,4/12/09,35.11S,150.58E,MAKO SHARK,170,80,-35.16666667,151
B036720,2/26/08,35.11S,151.03E,BLUE MARLIN,240,135,-35.16666667,151.0833333
B145666,8/13/21,35.11S,151.03E,SOUTHERN BLUEFIN TUNA,75,8,-35.16666667,151.0833333
A552385,10/18/20,35.07S,151.59E,ALBACORE,80,4,-35.08333333,152
A340610,2/24/01,33.06S,152.07E,DOLPHINFISH,50,1,-33.08333333,152.0833333
B080086,3/4/14,35.11S,150.57E,STRIPED MARLIN,0,100,-35.16666667,150.9166667
B114606,4/30/16,35.11S,150.57E,STRIPED MARLIN,0,80,-35.16666667,150.9166667
S256080,3/31/18,34.58S,150.56E,WHALER SHARK,0,20,-35,150.9166667
A407356,11/25/01,35.06S,150.59E,YELLOWFIN TUNA,0,5,-35.08333333,151
B010617,1/30/09,35.06S,151.00E,STRIPED MARLIN,260,80,-35.08333333,151
B167230,2/29/20,35.05S,151.00E,STRIPED MARLIN,190,40,-35.08333333,151
A290587,11/9/08,35.11S,151.03E,ALBACORE,60,6,-35.16666667,151.0833333
A436031,11/24/06,35.11S,151.03E,YELLOWFIN TUNA,90,10,-35.16666667,151.0833333
S194836,3/1/03,33.04S,152.28E,BLACK MARLIN,0,130,-33.08333333,152.5
B049429,1/26/12,34.50S,150.54E,BLACK MARLIN,0,100,-34.83333333,150.9166667
B016746,4/5/08,35.03S,150.51E,STRIPED MARLIN,0,80,-35.08333333,150.8333333
B160943,1/26/22,35.03S,150.51E,STRIPED MARLIN,0,60,-35.08333333,150.8333333
B195317,12/28/23,34.58S,150.56E,WHALER SHARK,0,0,-35,150.9166667
S253974,1/11/23,34.58S,150.56E,WHALER SHARK,160,30,-35,150.9166667
A345010,2/27/00,33.04S,152.28E,STRIPED MARLIN,200,90,-33.08333333,152.5
A395878,2/24/07,33.04S,152.28E,WAHOO,100,8,-33.08333333,152.5
A454800,2/25/06,33.04S,152.28E,STRIPED MARLIN,150,40,-33.08333333,152.5
A465862,3/4/07,33.04S,152.28E,YELLOWFIN TUNA,0,0,-33.08333333,152.5
B008331,4/25/05,33.04S,152.28E,STRIPED MARLIN,260,100,-33.08333333,152.5
B010227,2/11/07,33.04S,152.28E,BLACK MARLIN,0,100,-33.08333333,152.5
A418943,3/27/04,34.57S,151.05E,DOLPHINFISH,90,4,-34.91666667,151.0833333
B084361,1/16/13,34.58S,151.03E,STRIPED MARLIN,220,80,-35,151.0833333
B115095,1/11/17,34.59S,151.03E,STRIPED MARLIN,0,90,-35,151.0833333
B112103,2/7/16,34.57S,151.15E,STRIPED MARLIN,220,90,-34.91666667,151.25
B024680,4/9/11,34.10S,152.10E,BLUE MARLIN,0,120,-34.16666667,152.1666667
A374519,9/30/01,33.09S,152.02E,BLUE SHARK,150,60,-33.16666667,152
S179772,9/30/07,33.54S,151.56E,MAKO SHARK,0,40,-33.91666667,151.9166667
A521184,4/8/17,33.58S,151.48E,YELLOWFIN TUNA,0,6,-34,151.8333333
A352075,3/24/01,34.57S,150.56E,DOLPHINFISH,65,3,-34.91666667,150.9166667
B077542,2/15/15,34.57S,150.56E,BLACK MARLIN,0,65,-34.91666667,150.9166667
S182614,11/23/02,34.57S,150.56E,WHALER SHARK,120,25,-34.91666667,150.9166667
A176340,11/11/01,34.53S,151.06E,YELLOWFIN TUNA,0,10,-34.91666667,151.0833333
B125557,12/30/17,33.14S,152.12E,STRIPED MARLIN,210,80,-33.25,152.1666667
A610552,1/7/17,33.25S,152.08E,DOLPHINFISH,0,10,-33.41666667,152.1666667
B068394,1/6/13,33.21S,152.06E,STRIPED MARLIN,218,75,-33.33333333,152.0833333
B085388,3/2/14,33.22S,152.07E,BLUE MARLIN,0,180,-33.33333333,152.0833333
B091347,1/7/17,33.22S,152.06E,BLACK MARLIN,200,60,-33.33333333,152.0833333
A561307,3/15/13,33.33S,152.11E,YELLOWFIN TUNA,0,3,-33.58333333,152.1666667
A313506,11/8/04,34.02S,151.39E,YELLOWFIN TUNA,0,5,-34,151.6666667
S250217,8/9/14,34.02S,151.39E,MAKO SHARK,0,100,-34,151.6666667
S261083,8/4/18,34.00S,151.39E,MAKO SHARK,0,60,-34,151.6666667
S266082,8/4/18,34.02S,151.39E,MAKO SHARK,0,130,-34,151.6666667
A422825,11/7/04,33.22S,152.08E,YELLOWFIN TUNA,0,0,-33.33333333,152.1666667
A425487,2/15/03,33.22S,152.08E,BLACK MARLIN,185,55,-33.33333333,152.1666667
B054774,1/19/14,33.43S,151.44E,STRIPED MARLIN,210,75,-33.75,151.75
