Tag_Number,Release_Da,Latitude,Longitude,Species_Na,Length,Weight,Latitude_F,Longitude_
B131686,2/22/18,35.11S,150.91666667,STRIPED MARLIN,225.0,75.0,-35.16666667,150.91666666700007
B105845,7/27/15,17.37S,122.0,SAILFISH,180.0,20.0,-17.58333333,122.00000000000011
B143841,3/18/18,26.32S,153.58333333,BLACK MARLIN,0.0,40.0,-26.5,153.58333333300004
A678044,5/14/23,38.54S,145.91666667,SOUTHERN BLUEFIN TUNA,85.0,15.0,-38.91666667,145.91666666700007
B054291,2/4/11,37.03S,150.33333333,STRIPED MARLIN,0.0,90.0,-37.08333333,150.33333333300004
B050581,10/17/10,21.43S,114.08333333,SAILFISH,0.0,40.0,-21.75,114.08333333300004
B032437,3/27/13,20.20S,116.66666667,SAILFISH,180.0,20.0,-20.33333333,116.66666666700007
B041502,2/21/09,35.11S,151.08333333,STRIPED MARLIN,0.0,70.0,-35.16666667,151.08333333300004
B037016,11/17/09,11.50S,136.66666667,SAILFISH,220.0,40.0,-11.83333333,136.66666666700007
B062224,5/1/10,33.01S,152.41666667,STRIPED MARLIN,230.0,80.0,-33.0,152.41666666700007
B002810,3/25/13,32.39S,152.25,BLACK MARLIN,120.0,15.0,-32.66666667,152.2500000000001
B012455,8/23/06,19.11S,147.5,BLACK MARLIN,120.0,15.0,-19.16666667,147.5000000000001
B019743,8/6/12,19.10S,147.16666667,BLACK MARLIN,120.0,12.0,-19.16666667,147.16666666700007
B036770,10/29/09,16.18S,146.0,BLACK MARLIN,0.0,100.0,-16.33333333,146.0000000000001
B046001,10/25/09,14.28S,145.58333333,BLACK MARLIN,200.0,90.0,-14.5,145.58333333300004
B023879,7/7/10,17.36S,122.0,BLACK MARLIN,180.0,20.0,-17.58333333,122.00000000000011
B058443,2/21/11,26.33S,153.16666667,BLACK MARLIN,0.0,30.0,-26.58333333,153.16666666700007
B028174,2/26/17,36.15S,150.33333333,STRIPED MARLIN,0.0,75.0,-36.25,150.33333333300004
B041637,3/28/10,33.35S,151.75,STRIPED MARLIN,0.0,60.0,-33.58333333,151.7500000000001
B062981,2/27/10,32.56S,152.5,BLACK MARLIN,228.6,100.0,-32.91666667,152.5000000000001
B016227,2/28/06,33.04S,152.5,STRIPED MARLIN,300.0,130.0,-33.08333333,152.5000000000001
A526449,5/9/10,38.16S,140.5,SOUTHERN BLUEFIN TUNA,88.0,0.0,-38.25,140.5000000000001
A510309,6/13/10,38.10S,140.66666667,SOUTHERN BLUEFIN TUNA,0.0,10.0,-38.16666667,140.66666666700007
A539879,4/30/11,38.22S,140.66666667,SOUTHERN BLUEFIN TUNA,87.0,0.0,-38.33333333,140.66666666700007
A553943,5/20/11,38.11S,140.91666667,SOUTHERN BLUEFIN TUNA,80.0,24.0,-38.16666667,140.91666666700007
A604757,6/24/18,38.48S,142.0,SOUTHERN BLUEFIN TUNA,75.0,8.0,-38.83333333,142.0000000000001
A494736,1/30/16,43.13S,148.0,SOUTHERN BLUEFIN TUNA,80.0,12.0,-43.25,148.0000000000001
B147985,2/23/18,32.02S,152.83333333,BLACK MARLIN,0.0,70.0,-32.0,152.83333333300004
B109907,8/19/17,19.05S,147.33333333,BLACK MARLIN,170.0,13.0,-19.08333333,147.33333333300004
B100346,10/7/13,12.45S,141.41666667,SAILFISH,0.0,20.0,-12.75,141.41666666700007
B122871,12/16/16,12.59S,141.16666667,SAILFISH,250.0,18.0,-13.0,141.16666666700007
B140438,8/25/17,16.36S,145.91666667,BLACK MARLIN,117.0,10.0,-16.58333333,145.91666666700007
A558430,3/30/13,13.51S,136.33333333,SPANISH MACKEREL,46.0,1.0,-13.83333333,136.33333333300004
B157252,1/16/19,27.56S,153.41666667,BLACK MARLIN,0.0,30.0,-27.91666667,153.41666666700007
B131598,1/8/23,34.20S,151.58333333,STRIPED MARLIN,0.0,65.0,-34.33333333,151.58333333300004
B148209,2/15/20,33.04S,152.5,STRIPED MARLIN,220.0,70.0,-33.08333333,152.5000000000001
A581962,2/4/17,32.49S,152.08333333,DOLPHINFISH,100.0,0.0,-32.83333333,152.08333333300004
B091541,1/14/16,31.18S,153.0,BLACK MARLIN,180.0,65.0,-31.33333333,153.0000000000001
A547076,4/27/18,43.20S,148.16666667,SOUTHERN BLUEFIN TUNA,85.0,20.0,-43.33333333,148.16666666700007
A544981,5/23/21,43.47S,147.0,SOUTHERN BLUEFIN TUNA,90.0,15.0,-43.75,147.0000000000001
A587980,6/1/18,38.07S,140.66666667,SOUTHERN BLUEFIN TUNA,88.0,13.0,-38.08333333,140.66666666700007
A526360,5/7/11,38.05S,140.58333333,SOUTHERN BLUEFIN TUNA,90.0,13.0,-38.08333333,140.58333333300004
A566202,8/3/12,20.25S,116.58333333,SPANISH MACKEREL,110.0,0.0,-20.41666667,116.58333333300004
B107416,11/2/14,21.50S,114.41666667,SAILFISH,160.0,15.0,-21.83333333,114.41666666700007
S119303,2/19/06,38.37S,145.33333333,BLUE SHARK,0.0,30.0,-38.58333333,145.33333333300004
A385076,5/21/01,36.33S,150.33333333,ALBACORE,60.0,0.0,-36.58333333,150.33333333300004
S129340,1/24/04,36.29S,150.25,STRIPED MARLIN,0.0,85.0,-36.5,150.2500000000001
S177451,3/31/00,36.29S,150.25,STRIPED MARLIN,0.0,90.0,-36.5,150.2500000000001
A382061,3/18/01,36.25S,150.33333333,HAMMERHEAD SHARK,120.0,25.0,-36.41666667,150.33333333300004
A307185,1/3/05,36.26S,150.08333333,YELLOWFIN TUNA,0.0,6.0,-36.41666667,150.08333333300004
S216328,10/4/05,15.12S,145.75,BLACK MARLIN,0.0,160.0,-15.16666667,145.7500000000001
S211484,10/17/04,14.50S,145.66666667,BLACK MARLIN,0.0,160.0,-14.83333333,145.66666666700007
S173387,10/31/00,14.40S,145.41666667,BLACK MARLIN,0.0,68.0,-14.66666667,145.41666666700007
A445667,2/11/18,32.50S,152.66666667,WHALER SHARK,0.0,50.0,-32.83333333,152.66666666700007
