OBJECTID,Tag_Number,Release_Date,Latitude,Longitude,Species_Name,Length,Weight,Latitude_FiveNM,Longitude_FiveNM,Moon_Phase,Wind_Direction_10m,Rain_mm,Is_Raining,Sea_Surface_Temp_C
172,A136022,1111190400000,-33.58333333213011,151.5000000000001,DOLPHINFISH,40.0,0.0,-33.58333333,151.5,0.2974069699700869,170.0,0.0,False,
173,A136023,1111276800000,-33.58333333213011,151.5000000000001,DOLPHINFISH,0.0,0.0,-33.58333333,151.5,0.3312701621730888,186.0,0.0,False,
174,A136024,1111276800000,-33.58333333213011,151.5000000000001,DOLPHINFISH,0.0,0.0,-33.58333333,151.5,0.3312701621730888,186.0,0.0,False,
175,A136025,1111276800000,-33.58333333213011,151.5000000000001,DOLPHINFISH,0.0,0.0,-33.58333333,151.5,0.3312701621730888,186.0,0.0,False,
176,A136026,1111276800000,-33.58333333213011,151.5000000000001,DOLPHINFISH,0.0,0.0,-33.58333333,151.5,0.3312701621730888,186.0,0.0,False,
177,A136027,1111276800000,-33.58333333213011,151.5000000000001,DOLPHINFISH,0.0,0.0,-33.58333333,151.5,0.3312701621730888,186.0,0.0,False,
178,A136028,1111190400000,-33.58333333213011,151.5000000000001,DOLPHINFISH,40.0,0.0,-33.58333333,151.5,0.2974069699700869,170.0,0.0,False,
179,A136029,1111190400000,-33.58333333213011,151.5000000000001,DOLPHINFISH,40.0,0.5,-33.58333333,151.5,0.2974069699700869,170.0,0.0,False,
180,A136030,1111276800000,-33.58333333213011,151.5000000000001,DOLPHINFISH,0.0,0.0,-33.58333333,151.5,0.3312701621730888,186.0,0.0,False,
181,A136401,1103673600000,-33.83333333212696,151.33333333300004,STRIPED MARLIN,200.0,80.0,-33.83333333,151.33333333,0.3513092483089223,75.0,0.0,False,
182,A136402,1103673600000,-33.83333333212696,151.33333333300004,STRIPED MARLIN,180.0,55.0,-33.83333333,151.33333333,0.3513092483089223,75.0,0.0,False,
183,A137283,1010880000000,-35.749999999104986,150.5000000000001,YELLOWFIN TUNA,0.0,12.0,-35.75,150.5,0.9822408222848948,187.0,0.0,False,
184,A137284,1010880000000,-35.749999999104986,150.5000000000001,YELLOWFIN TUNA,0.0,12.0,-35.75,150.5,0.9822408222848948,187.0,0.0,False,
186,A137632,1145923200000,-28.83333333220223,113.83333333300004,SPANISH MACKEREL,120.0,12.0,-28.83333333,113.83333333,0.910410235576855,236.0,0.0,False,
187,A138175,947548800000,-31.333333332161377,153.16666666700007,DOLPHINFISH,40.0,0.0,-31.33333333,153.16666667,0.1605209374845075,153.0,0.0,False,
188,A138177,947548800000,-31.333333332161377,153.16666666700007,DOLPHINFISH,40.0,0.0,-31.33333333,153.16666667,0.1605209374845075,153.0,0.0,False,
189,A140622,1114300800000,-34.6666666661169,151.5000000000001,DOLPHINFISH,75.0,2.5,-34.66666667,151.5,0.516481889278155,133.0,0.0,False,
190,A140623,1112486400000,-34.499999999118835,151.08333333300004,DOLPHINFISH,55.0,0.0,-34.5,151.08333333,0.8053548530151152,1.0,0.0,False,
191,A140624,1112486400000,-34.499999999118835,151.08333333300004,DOLPHINFISH,65.0,0.0,-34.5,151.08333333,0.8053548530151152,1.0,0.0,False,
192,A140625,1112486400000,-34.499999999118835,151.08333333300004,DOLPHINFISH,65.0,0.0,-34.5,151.08333333,0.8053548530151152,1.0,0.0,False,
193,A140626,1044748800000,-34.583333332117896,150.91666666700007,DOLPHINFISH,57.0,0.0,-34.58333333,150.91666667,0.2566121658616324,54.0,0.0,False,
194,A140627,1044748800000,-34.583333332117896,150.91666666700007,DOLPHINFISH,53.0,0.0,-34.58333333,150.91666667,0.2566121658616324,54.0,0.0,False,
195,A140628,1044748800000,-34.583333332117896,150.91666666700007,DOLPHINFISH,52.0,0.0,-34.58333333,150.91666667,0.2566121658616324,54.0,0.0,False,
196,A140629,1044748800000,-34.583333332117896,150.91666666700007,DOLPHINFISH,50.0,0.0,-34.58333333,150.91666667,0.2566121658616324,54.0,0.0,False,
197,A140631,1044662400000,-34.583333332117896,150.91666666700007,DOLPHINFISH,55.0,0.0,-34.58333333,150.91666667,0.2227489736586305,172.0,0.5,True,
198,A140632,1044662400000,-34.583333332117896,150.91666666700007,DOLPHINFISH,55.0,0.0,-34.58333333,150.91666667,0.2227489736586305,172.0,0.5,True,
199,A140633,1044662400000,-34.583333332117896,150.91666666700007,DOLPHINFISH,50.0,0.0,-34.58333333,150.91666667,0.2227489736586305,172.0,0.5,True,
200,A140634,1044662400000,-34.583333332117896,150.91666666700007,DOLPHINFISH,65.0,0.0,-34.58333333,150.91666667,0.2227489736586305,172.0,0.5,True,
201,A140635,1044662400000,-34.583333332117896,150.91666666700007,DOLPHINFISH,55.0,0.0,-34.58333333,150.91666667,0.2227489736586305,172.0,0.5,True,
202,A140641,1044662400000,-34.583333332117896,150.91666666700007,DOLPHINFISH,63.0,0.0,-34.58333333,150.91666667,0.2227489736586305,172.0,0.5,True,
